DB_id(key)		filename			size_x		size_y	angle
500002			tower\\FireArrow		68			109		0
500003			tower\\Electric			48			117		0
500004			tower\\Bow				66			81		0
500005			tower\\ThunderStrike	75			105		0
500006			tower\\Blackhole		75			110		0
500007			tower\\Poison			64			74		0
500008			tower\\Sand				75			110		0
500009			tower\\FrozenArrow		72			69		0
500010			tower\\HellFire			75			110		0
600003			structure\\tree3		48			65		0
600004			structure\\tree4		48			61		0
600005			structure\\tree5		48			58		0
600006			structure\\tree6		50			50		0
600007			structure\\tree7		50			51		0
600008			structure\\tree8		48			70		0
600009			structure\\tree9		50			55		0
600010			structure\\tree10		48			60		0
600011			structure\\tree11		67			87		0
600012			structure\\tree12		67			95		0
600013			structure\\tree13		66			80		0
600014			structure\\tree14		56			80		0
600015			structure\\tree15		56			80		0
600016			structure\\tree16		57			58		0
600017			structure\\tree17		50			33		0
600018			structure\\tree18		49			49		0
600019			structure\\tree19		48			69		0
600020			structure\\tree20		48			64		0
600021			structure\\statue1		50			59		0
600022			structure\\statue2		60			49		0
600023			structure\\statue3		50			79		0
600024			structure\\statue4		47			119		0
600025			structure\\statue5		48			149		0
600026			structure\\statue6		100			116		0
600027			structure\\leaf1		50			57		0
600999			structure\\potal1		150			150		0

